Age,Gender,Income,CoapplicantIncome,LoanAmount,LoanTerm,CreditScore,EmploymentStatus,MaritalStatus,PropertyArea,Output
46,Male,68780,25327,415204,68,446,Employed,Single,Semiurban,1
28,Female,3333,47609,100862,89,800,Self-employed,Widowed,Urban,0
50,Female,71205,16548,783015,348,637,Self-employed,Divorced,Urban,0
23,Female,52946,39757,202228,260,384,Unemployed,Single,Semiurban,0
64,Male,57333,18340,413551,64,442,Self-employed,Married,Urban,0
32,Male,29277,3860,794034,13,610,Employed,Single,Urban,0
49,Male,52606,19159,322769,312,668,Unemployed,Divorced,Urban,0
28,Male,3933,27865,765762,81,740,Self-employed,Single,Semiurban,0
40,Female,35514,34536,486674,83,366,Employed,Married,Urban,0
43,Female,64958,31755,373608,129,833,Employed,Married,Rural,0
51,Male,8827,13743,229537,17,640,Unemployed,Single,Urban,1
63,Male,32844,6226,721615,285,401,Unemployed,Widowed,Urban,1
51,Male,2792,12718,720621,50,613,Employed,Divorced,Semiurban,1
46,Male,41695,44656,503201,58,409,Employed,Married,Urban,1
21,Female,44510,39389,20903,186,731,Self-employed,Divorced,Semiurban,0
34,Female,41137,49934,763003,239,641,Self-employed,Divorced,Urban,0
52,Male,75410,25530,13070,191,478,Self-employed,Married,Rural,0
30,Female,41632,32908,388522,298,433,Self-employed,Single,Semiurban,0
58,Male,38790,49871,38217,80,329,Self-employed,Divorced,Rural,1
56,Male,32885,1650,362105,203,772,Unemployed,Single,Urban,0
32,Female,67214,40653,263453,84,684,Self-employed,Widowed,Rural,0
46,Male,78544,47032,66305,238,308,Self-employed,Widowed,Urban,0
46,Female,46870,33783,20106,173,435,Self-employed,Divorced,Urban,1
28,Male,50110,47458,795449,28,589,Employed,Married,Urban,1
49,Female,7171,41302,34420,235,342,Self-employed,Divorced,Urban,0
19,Male,11589,6292,491919,310,404,Unemployed,Single,Urban,1
64,Female,20077,22737,280726,140,330,Employed,Single,Urban,0
31,Male,66874,25551,84403,298,518,Employed,Divorced,Semiurban,0
37,Male,74246,43543,473979,43,412,Self-employed,Divorced,Urban,1
39,Female,40227,19504,710911,237,559,Employed,Divorced,Urban,0
28,Male,16937,16371,348627,360,311,Self-employed,Widowed,Urban,0
44,Female,11754,20810,777296,173,770,Self-employed,Married,Rural,0
20,Female,27688,29036,671345,290,639,Self-employed,Single,Rural,0
34,Male,9048,49162,282949,108,545,Unemployed,Widowed,Semiurban,1
61,Male,24568,15547,22107,150,549,Employed,Widowed,Rural,1
45,Male,77019,27203,702761,248,808,Employed,Divorced,Semiurban,0
46,Male,19545,9305,78071,153,603,Employed,Single,Urban,0
38,Female,47217,8813,684441,158,812,Employed,Single,Urban,0
64,Male,50122,900,536134,321,660,Employed,Single,Semiurban,0
33,Male,35746,3747,773819,324,343,Self-employed,Single,Semiurban,0
54,Male,10709,45024,252511,300,618,Self-employed,Divorced,Semiurban,0
37,Female,27358,23245,237796,131,788,Self-employed,Widowed,Urban,0
23,Male,13023,3103,297069,197,593,Unemployed,Widowed,Rural,0
36,Female,30756,41286,321133,88,808,Unemployed,Widowed,Urban,0
22,Male,65175,73,380477,26,820,Unemployed,Widowed,Semiurban,0
20,Female,56281,49402,253243,293,625,Unemployed,Single,Urban,0
18,Male,51289,2497,73748,289,552,Employed,Single,Urban,0
55,Male,60097,29577,250023,273,607,Unemployed,Married,Urban,0
32,Female,78681,21012,467674,126,622,Employed,Divorced,Rural,0
51,Male,49259,8487,364745,116,335,Employed,Single,Rural,1
52,Male,20839,49449,708057,84,590,Employed,Single,Urban,0
42,Male,29410,30023,359745,353,841,Self-employed,Divorced,Urban,0
41,Female,13447,24877,289838,90,788,Self-employed,Divorced,Semiurban,0
29,Male,77665,45567,666402,85,535,Employed,Single,Urban,1
35,Female,15907,6517,144085,156,684,Unemployed,Widowed,Rural,0
32,Female,23637,44584,36285,249,660,Employed,Married,Rural,0
61,Female,40196,46173,47446,223,555,Self-employed,Married,Urban,1
33,Male,24369,41012,357328,20,658,Unemployed,Divorced,Rural,0
44,Female,4589,5615,456284,106,842,Self-employed,Widowed,Rural,0
25,Female,25560,10468,533042,273,324,Unemployed,Divorced,Rural,1
63,Male,5034,10879,521066,40,300,Self-employed,Married,Urban,1
42,Female,2169,31955,259170,356,657,Employed,Married,Semiurban,0
34,Female,5239,13078,381455,288,417,Self-employed,Widowed,Rural,1
46,Male,5415,4590,595370,130,778,Unemployed,Married,Semiurban,1
25,Male,78944,10910,110654,229,758,Self-employed,Married,Urban,0
32,Female,5484,44895,116693,166,412,Unemployed,Widowed,Semiurban,1
44,Male,55987,31976,249019,18,494,Self-employed,Married,Semiurban,0
63,Male,20225,21574,446671,170,319,Self-employed,Divorced,Semiurban,0
24,Male,63104,40652,367416,263,585,Employed,Divorced,Urban,0
20,Female,22936,22716,756495,298,757,Unemployed,Divorced,Urban,0
46,Female,41612,33430,9516,119,747,Unemployed,Divorced,Urban,0
61,Male,41952,8199,772809,125,384,Employed,Single,Urban,1
41,Female,60945,33436,552664,74,573,Self-employed,Married,Rural,0
20,Male,7380,27740,614141,279,702,Unemployed,Married,Urban,1
37,Male,52298,9477,335189,53,552,Unemployed,Divorced,Semiurban,1
63,Male,29260,160,49968,342,664,Unemployed,Married,Semiurban,1
32,Male,34879,43358,154018,327,559,Employed,Single,Urban,1
42,Male,18143,44205,211885,63,733,Employed,Single,Rural,0
47,Female,51744,6460,31365,83,421,Unemployed,Single,Rural,0
31,Female,74949,16401,160531,209,816,Self-employed,Widowed,Urban,0
24,Female,33578,35301,331057,230,842,Self-employed,Divorced,Rural,0
34,Female,59331,22894,101100,268,818,Employed,Married,Semiurban,0
61,Male,65815,37214,482617,108,311,Self-employed,Single,Rural,1
37,Male,73519,45927,61350,114,309,Employed,Single,Rural,1
53,Female,21178,38322,545876,270,456,Unemployed,Married,Urban,0
26,Female,77857,48036,151112,330,440,Unemployed,Married,Semiurban,0
55,Male,62197,43277,677485,61,436,Unemployed,Widowed,Rural,1
65,Male,38366,2918,788540,317,699,Employed,Single,Rural,0
39,Male,54955,46147,397948,257,742,Self-employed,Single,Semiurban,0
19,Female,43911,25629,166831,305,741,Unemployed,Widowed,Rural,0
41,Male,55619,16699,507600,77,566,Self-employed,Widowed,Semiurban,1
25,Male,46296,46900,601873,146,812,Self-employed,Married,Rural,1
28,Female,24791,7069,741412,185,576,Employed,Divorced,Urban,0
30,Female,10301,41279,324133,208,655,Employed,Married,Rural,0
34,Female,37779,39190,271881,276,392,Self-employed,Widowed,Rural,0
25,Male,38894,4527,579545,115,435,Self-employed,Divorced,Rural,1
38,Male,51250,19099,348707,87,410,Unemployed,Widowed,Semiurban,0
35,Female,72994,15622,765494,89,343,Unemployed,Single,Semiurban,0
47,Male,43770,26281,589279,262,510,Unemployed,Widowed,Urban,1
35,Male,24300,39433,151167,198,642,Self-employed,Divorced,Urban,0
63,Male,70235,39875,151125,144,658,Employed,Divorced,Urban,0
64,Female,31485,15531,381920,226,660,Self-employed,Single,Urban,0
48,Female,42285,5132,167591,194,630,Unemployed,Single,Urban,0
55,Male,68555,29396,330530,354,710,Unemployed,Divorced,Semiurban,0
49,Male,34471,43239,516285,349,807,Employed,Married,Urban,0
28,Male,50671,41430,113702,345,531,Self-employed,Widowed,Rural,1
62,Male,22270,27807,207914,202,469,Unemployed,Married,Urban,0
42,Female,15698,39550,541861,306,703,Employed,Single,Urban,0
50,Female,74265,27196,22248,79,533,Unemployed,Widowed,Urban,0
55,Male,41729,15993,373694,203,819,Employed,Widowed,Urban,0
58,Male,13171,25958,386503,329,601,Self-employed,Single,Semiurban,0
25,Female,62684,47358,522088,265,399,Employed,Married,Urban,1
28,Male,57165,39513,353355,204,552,Self-employed,Married,Semiurban,0
39,Female,51948,38402,545412,309,607,Self-employed,Single,Urban,1
41,Male,36725,45335,498341,358,686,Unemployed,Married,Semiurban,0
58,Female,21450,39028,533107,142,422,Self-employed,Divorced,Urban,0
34,Male,15300,14945,625110,351,431,Unemployed,Single,Rural,1
29,Male,6441,17569,16164,180,535,Unemployed,Divorced,Semiurban,1
63,Female,21332,23379,561989,321,520,Self-employed,Divorced,Semiurban,0
49,Female,22115,38877,742371,313,361,Employed,Divorced,Urban,1
32,Male,43997,22825,382439,347,702,Self-employed,Widowed,Semiurban,0
33,Male,15615,915,112747,358,470,Self-employed,Divorced,Semiurban,0
39,Female,16732,23848,709797,309,775,Employed,Married,Semiurban,0
45,Female,27367,13669,483057,138,313,Unemployed,Single,Rural,0
37,Male,44738,9875,737394,32,569,Unemployed,Married,Urban,1
50,Male,2981,14853,693229,262,353,Self-employed,Divorced,Rural,0
27,Female,64881,2425,303747,56,712,Employed,Divorced,Rural,0
57,Female,60609,32440,652145,149,430,Employed,Divorced,Urban,0
49,Female,10566,33193,9235,360,816,Employed,Divorced,Rural,0
50,Female,73885,34555,771786,241,600,Employed,Single,Rural,0
19,Female,12728,35352,391702,165,726,Self-employed,Single,Semiurban,0
50,Male,38214,37416,17015,308,415,Self-employed,Widowed,Semiurban,0
50,Male,59935,16552,19601,276,535,Unemployed,Single,Urban,1
58,Female,47588,33282,798941,159,312,Employed,Divorced,Urban,0
30,Male,20953,36203,415134,42,517,Self-employed,Widowed,Rural,1
47,Male,70408,37293,570263,222,628,Self-employed,Divorced,Urban,0
50,Female,76904,19000,268053,135,367,Employed,Widowed,Urban,0
30,Male,36103,30802,347185,81,690,Employed,Single,Semiurban,0
43,Male,72949,10569,136190,293,391,Unemployed,Single,Rural,0
39,Male,51264,25266,426854,202,403,Employed,Single,Semiurban,0
56,Female,22156,3204,597937,316,725,Unemployed,Widowed,Semiurban,0
19,Female,15423,7765,109457,222,603,Unemployed,Married,Semiurban,0
55,Male,40062,10696,347445,104,678,Employed,Divorced,Rural,0
56,Male,44805,24928,219483,317,647,Employed,Single,Rural,0
43,Male,3987,48910,23480,290,474,Self-employed,Single,Rural,0
63,Male,64979,14679,275088,235,691,Employed,Divorced,Semiurban,0
32,Male,39597,33885,40022,114,704,Employed,Married,Urban,0
51,Male,29868,34173,357769,345,387,Unemployed,Divorced,Rural,0
59,Female,78970,44899,577995,169,548,Employed,Single,Urban,1
61,Male,65805,47865,191327,121,665,Self-employed,Single,Semiurban,0
57,Male,18636,38182,747538,76,388,Self-employed,Married,Rural,0
28,Female,59467,39109,557996,219,755,Employed,Widowed,Urban,0
20,Male,19007,4174,63823,343,714,Employed,Married,Rural,0
23,Male,78864,17061,511035,58,754,Unemployed,Divorced,Semiurban,1
26,Male,5389,41510,391564,90,810,Employed,Single,Rural,0
23,Male,11458,25395,726025,347,474,Unemployed,Married,Semiurban,0
26,Female,70481,213,500236,81,508,Employed,Single,Semiurban,1
56,Male,76888,34434,781802,272,612,Unemployed,Widowed,Urban,1
48,Female,78022,13276,385575,253,670,Self-employed,Married,Semiurban,0
49,Male,43400,9085,678515,337,612,Employed,Married,Semiurban,0
58,Male,69628,45036,790042,291,803,Employed,Single,Rural,0
29,Female,53857,28481,287982,84,385,Unemployed,Widowed,Semiurban,0
25,Male,66367,31276,159226,112,565,Unemployed,Single,Semiurban,1
25,Female,38527,24597,311179,87,519,Employed,Divorced,Semiurban,0
45,Female,72648,22244,35294,207,594,Unemployed,Divorced,Semiurban,1
37,Female,18937,30601,133557,235,805,Employed,Widowed,Urban,0
64,Male,39672,34029,258010,232,462,Self-employed,Divorced,Rural,0
24,Male,3112,21264,469025,25,426,Unemployed,Single,Rural,0
28,Male,37545,13890,603521,273,416,Employed,Married,Semiurban,0
37,Male,50355,46312,403844,328,705,Self-employed,Divorced,Urban,0
33,Female,77561,42852,639655,183,655,Employed,Widowed,Urban,1
21,Male,36082,47907,75254,145,521,Employed,Widowed,Semiurban,1
23,Male,62482,21058,286204,315,675,Self-employed,Single,Semiurban,0
39,Female,13304,16121,136168,85,613,Unemployed,Divorced,Rural,0
43,Female,58625,37964,764065,187,449,Self-employed,Divorced,Rural,1
20,Male,74551,37352,363076,79,535,Employed,Divorced,Rural,0
58,Female,46885,5021,540346,152,467,Self-employed,Widowed,Rural,0
59,Female,73246,22614,672578,238,794,Employed,Widowed,Semiurban,0
31,Female,14588,42950,496033,147,711,Self-employed,Widowed,Semiurban,0
28,Female,22967,45277,729859,155,368,Unemployed,Married,Rural,1
35,Female,26256,43420,357684,137,566,Self-employed,Single,Rural,1
29,Male,60348,2631,575910,244,449,Self-employed,Married,Semiurban,1
40,Male,27052,6345,421893,320,824,Unemployed,Widowed,Rural,0
29,Male,60479,40864,703734,167,681,Employed,Divorced,Semiurban,0
30,Male,62200,47674,314052,325,673,Self-employed,Divorced,Rural,0
42,Male,4506,26844,645743,255,805,Employed,Married,Semiurban,0
62,Male,22709,6300,370612,133,536,Self-employed,Widowed,Urban,1
36,Male,60535,38612,96628,279,624,Unemployed,Widowed,Semiurban,1
63,Female,46840,18560,53316,87,549,Self-employed,Widowed,Urban,1
53,Male,62587,5362,148358,237,750,Employed,Divorced,Urban,0
62,Male,61321,8097,68539,36,721,Employed,Divorced,Rural,0
25,Male,45202,5599,34235,239,515,Unemployed,Widowed,Urban,0
46,Female,58588,25452,737491,89,320,Employed,Married,Rural,0
49,Male,5090,47373,458106,47,604,Unemployed,Single,Urban,0
61,Male,61231,4258,554840,207,652,Unemployed,Divorced,Urban,1
35,Female,23552,25530,280773,256,744,Employed,Divorced,Rural,0
23,Male,35741,6640,371914,90,565,Employed,Single,Semiurban,0
35,Male,23661,37056,195000,188,467,Unemployed,Widowed,Rural,1
36,Female,43025,17261,624749,271,357,Employed,Married,Urban,0
39,Male,8092,37827,436474,76,623,Unemployed,Married,Rural,1
54,Female,37674,15141,148915,27,565,Self-employed,Widowed,Rural,0
49,Male,2570,26752,102571,81,361,Employed,Divorced,Urban,1
58,Male,14084,23548,291132,274,388,Employed,Widowed,Urban,1
20,Male,67843,35368,383102,173,715,Unemployed,Divorced,Urban,0
45,Female,62752,15902,365363,358,375,Self-employed,Married,Rural,0
27,Female,71278,27683,758882,356,704,Self-employed,Divorced,Rural,0
52,Female,2765,18792,300445,245,664,Employed,Married,Rural,0
46,Male,26198,37628,609801,56,684,Unemployed,Married,Semiurban,1
32,Male,63201,42933,668311,88,308,Unemployed,Married,Rural,0
50,Female,75271,2334,96607,357,814,Employed,Divorced,Semiurban,0
24,Female,49199,767,342245,95,668,Self-employed,Widowed,Urban,0
29,Male,13377,31644,295859,18,608,Unemployed,Married,Semiurban,0
47,Male,10036,26992,721653,162,469,Unemployed,Widowed,Rural,1
38,Male,42364,29570,709576,204,446,Employed,Single,Urban,1
48,Male,39443,11737,42109,159,817,Employed,Single,Semiurban,0
41,Female,3663,13372,182736,203,379,Self-employed,Married,Urban,0
37,Male,41244,26885,752196,229,751,Self-employed,Single,Urban,0
54,Male,60391,20590,654373,123,765,Unemployed,Married,Semiurban,0
21,Male,79564,39853,24369,156,711,Employed,Divorced,Urban,0
45,Male,17077,744,239970,249,594,Employed,Divorced,Urban,0
61,Male,59849,27158,516817,80,429,Employed,Divorced,Rural,1
37,Male,21631,20558,522144,218,464,Self-employed,Widowed,Urban,1
41,Male,54652,32259,226009,280,749,Self-employed,Married,Semiurban,0
49,Female,69446,21450,639438,359,806,Unemployed,Married,Semiurban,1
58,Female,35500,36929,381030,249,368,Employed,Widowed,Rural,0
53,Female,21897,46589,331449,183,799,Self-employed,Widowed,Rural,0
51,Male,60915,9586,743284,113,434,Employed,Single,Semiurban,0
53,Female,39377,286,723985,296,801,Self-employed,Single,Semiurban,0
19,Male,78670,3247,527133,182,644,Employed,Divorced,Rural,0
32,Male,28897,31974,738662,179,353,Unemployed,Widowed,Semiurban,1
51,Male,49280,43562,339376,98,631,Self-employed,Widowed,Urban,0
53,Male,59320,5099,795413,105,719,Self-employed,Widowed,Rural,0
23,Female,74592,16387,787722,186,612,Unemployed,Married,Rural,0
56,Male,70289,48829,349535,164,437,Unemployed,Single,Rural,0
59,Male,33941,22319,549077,101,654,Employed,Widowed,Rural,0
29,Female,16234,411,98046,237,801,Self-employed,Divorced,Urban,0
20,Female,77172,20729,471459,256,524,Employed,Married,Rural,0
62,Female,5376,20111,217130,345,398,Employed,Widowed,Rural,1
35,Male,32783,46566,696175,72,606,Employed,Single,Semiurban,0
57,Female,43249,15704,555785,242,690,Self-employed,Widowed,Rural,0
38,Male,45025,10109,625348,24,390,Unemployed,Single,Semiurban,1
32,Male,18447,1356,704319,292,673,Employed,Single,Semiurban,0
50,Female,18713,31172,695145,293,503,Self-employed,Single,Semiurban,0
52,Female,6858,8349,673726,212,416,Employed,Divorced,Urban,1
43,Female,53115,17984,42649,316,365,Unemployed,Divorced,Rural,0
25,Male,61834,27460,497998,108,430,Unemployed,Single,Rural,1
53,Male,6539,38474,163000,164,685,Self-employed,Married,Semiurban,1
65,Male,65983,44449,91117,200,391,Self-employed,Widowed,Rural,0
47,Male,20857,7196,549131,56,376,Unemployed,Married,Semiurban,1
40,Male,7364,21457,639538,229,551,Self-employed,Married,Rural,1
59,Male,67985,13549,243799,207,619,Unemployed,Widowed,Semiurban,0
61,Female,61169,49304,655288,97,353,Employed,Divorced,Semiurban,0
31,Male,23078,9821,221581,160,444,Unemployed,Married,Semiurban,1
31,Female,39574,35564,635931,181,385,Employed,Married,Urban,1
19,Female,2869,11073,397402,115,440,Self-employed,Widowed,Semiurban,1
54,Female,64624,7282,737531,304,344,Employed,Married,Urban,0
22,Female,42075,39719,464348,228,416,Unemployed,Married,Urban,0
55,Female,5659,19189,234023,184,446,Self-employed,Divorced,Semiurban,0
62,Male,38370,36848,317366,231,320,Self-employed,Married,Urban,0
58,Male,60185,44430,361001,80,835,Unemployed,Single,Rural,0
64,Male,45751,9247,740730,76,457,Self-employed,Divorced,Urban,0
31,Male,64758,10771,762914,333,775,Unemployed,Widowed,Urban,0
56,Female,7131,43725,91245,214,347,Employed,Widowed,Urban,1
42,Female,3358,22234,5157,108,718,Employed,Widowed,Urban,0
37,Female,59371,23746,325410,46,409,Self-employed,Married,Semiurban,0
19,Male,18246,34096,650687,339,828,Unemployed,Widowed,Rural,0
56,Male,19216,12236,739358,285,603,Unemployed,Single,Rural,0
23,Male,43209,35921,508762,35,781,Employed,Divorced,Urban,0
34,Male,44987,24576,79493,248,436,Employed,Single,Rural,1
42,Female,22577,166,475595,57,376,Self-employed,Widowed,Semiurban,0
45,Female,44320,14652,73148,62,569,Unemployed,Married,Urban,1
19,Male,13301,19638,148092,195,384,Self-employed,Married,Urban,0
52,Male,77051,21444,345453,84,767,Self-employed,Widowed,Urban,0
54,Female,2891,15233,5443,201,541,Self-employed,Widowed,Rural,1
22,Female,23972,1885,568029,202,363,Unemployed,Widowed,Urban,1
18,Female,52457,30364,794342,36,539,Employed,Married,Urban,1
57,Female,56435,14708,49169,337,394,Unemployed,Single,Rural,0
29,Male,22932,40297,367249,35,697,Unemployed,Divorced,Semiurban,0
53,Female,6192,33667,284453,118,348,Unemployed,Widowed,Rural,1
62,Female,18128,35016,475665,143,752,Self-employed,Single,Semiurban,0
40,Female,24836,44223,99499,227,444,Self-employed,Single,Semiurban,0
64,Female,26837,3412,362585,177,697,Unemployed,Single,Semiurban,0
48,Male,24778,11769,684595,160,602,Self-employed,Widowed,Urban,0
28,Male,45130,15947,643648,281,727,Self-employed,Married,Semiurban,0
27,Male,18708,43147,715442,225,316,Employed,Single,Urban,1
20,Male,26232,6449,735322,281,380,Unemployed,Single,Rural,0
31,Male,59266,42179,270066,17,483,Unemployed,Single,Semiurban,0
33,Male,41412,35900,493843,90,766,Self-employed,Divorced,Urban,0
27,Female,6782,40923,294915,227,582,Unemployed,Single,Urban,1
46,Female,63196,8136,726815,54,370,Unemployed,Single,Semiurban,1
27,Female,28315,33127,567060,185,389,Unemployed,Married,Semiurban,1
29,Female,12052,6450,390091,15,664,Unemployed,Single,Semiurban,1
47,Male,21521,42999,419053,266,502,Self-employed,Single,Urban,0
58,Female,71434,24031,80494,325,530,Employed,Widowed,Urban,0
18,Male,71690,31052,141647,191,305,Self-employed,Married,Semiurban,0
22,Female,37546,11346,318249,234,656,Employed,Single,Rural,0
37,Female,27972,14852,254468,163,748,Unemployed,Single,Urban,0
25,Female,66385,49882,641786,278,445,Unemployed,Divorced,Urban,0
60,Male,24030,7067,583368,328,354,Unemployed,Divorced,Rural,1
29,Female,42376,31485,736759,26,366,Unemployed,Single,Rural,1
18,Male,79400,9689,86393,21,446,Unemployed,Divorced,Rural,1
37,Male,20055,17801,254159,288,531,Unemployed,Single,Urban,1
45,Female,27493,40535,37309,120,767,Unemployed,Widowed,Rural,0
60,Male,76861,24272,657272,11,395,Employed,Divorced,Rural,0
54,Male,38775,3763,447810,303,790,Self-employed,Widowed,Urban,0
64,Female,53057,39696,562656,264,547,Unemployed,Single,Urban,1
54,Female,38253,30075,360422,45,431,Unemployed,Divorced,Urban,0
29,Female,53884,28692,82670,281,824,Unemployed,Single,Rural,0
54,Female,78497,26549,773954,237,369,Employed,Married,Semiurban,1
61,Female,19705,878,657738,12,648,Unemployed,Widowed,Semiurban,0
45,Female,46676,28848,25966,320,741,Self-employed,Married,Urban,0
64,Male,9101,30741,217645,98,555,Employed,Widowed,Rural,1
32,Female,64495,19268,204394,313,685,Employed,Single,Rural,0
23,Female,6743,10787,613903,26,804,Unemployed,Divorced,Rural,0
61,Male,10951,41620,282375,16,715,Employed,Married,Urban,0
37,Female,9014,31671,400268,55,618,Unemployed,Divorced,Semiurban,0
31,Male,38180,11336,38399,270,615,Self-employed,Divorced,Rural,0
19,Female,58977,27738,205050,50,629,Self-employed,Married,Semiurban,0
26,Female,61534,13487,388852,290,431,Employed,Married,Semiurban,0
54,Male,65209,40139,245601,323,443,Employed,Divorced,Rural,0
37,Female,43908,34037,342450,276,546,Unemployed,Single,Urban,1
43,Male,52918,12898,477251,280,362,Employed,Married,Semiurban,1
46,Female,10219,17678,201597,40,802,Self-employed,Single,Semiurban,0
18,Female,9163,43051,660385,146,535,Employed,Single,Semiurban,1
52,Male,4470,18141,146473,149,696,Self-employed,Married,Semiurban,0
23,Female,18543,10156,118172,328,422,Unemployed,Single,Semiurban,1
54,Female,21276,24160,790266,250,569,Self-employed,Widowed,Rural,1
22,Male,38881,12835,535841,356,307,Employed,Single,Urban,0
50,Female,9749,9383,338439,316,641,Self-employed,Single,Semiurban,1
31,Male,26182,39346,274899,198,614,Self-employed,Single,Urban,0
29,Female,79450,24564,214992,40,635,Employed,Divorced,Urban,0
59,Male,23383,42013,753374,277,555,Unemployed,Single,Rural,1
37,Female,27412,19225,705424,183,415,Self-employed,Single,Urban,0
41,Male,15181,38484,322193,275,688,Employed,Single,Urban,0
60,Male,46898,19946,575957,323,384,Self-employed,Single,Urban,1
51,Female,61630,28280,412587,156,349,Self-employed,Divorced,Urban,0
42,Female,5405,42782,340049,104,463,Self-employed,Divorced,Semiurban,1
46,Male,12862,26295,467647,34,447,Unemployed,Divorced,Rural,1
56,Female,56679,32700,216061,155,435,Self-employed,Married,Rural,1
48,Male,30688,47888,665157,213,517,Employed,Married,Rural,0
64,Female,50017,35536,465580,354,805,Employed,Divorced,Urban,0
60,Female,14939,32609,83053,267,671,Self-employed,Married,Urban,0
40,Male,41585,48509,546231,215,533,Unemployed,Divorced,Semiurban,1
61,Male,24942,9751,113374,94,414,Employed,Single,Urban,0
55,Female,7272,8928,31831,242,488,Unemployed,Divorced,Urban,1
37,Female,46134,6142,309188,253,716,Unemployed,Divorced,Rural,0
40,Female,26265,45955,123602,263,496,Employed,Married,Urban,0
62,Female,50192,16257,526332,197,849,Employed,Divorced,Rural,0
33,Female,30668,22650,340730,101,823,Unemployed,Widowed,Rural,0
59,Male,71283,38181,196330,41,313,Self-employed,Single,Rural,0
25,Female,11297,23212,211271,101,544,Unemployed,Divorced,Urban,0
38,Female,66005,2190,470652,42,601,Employed,Divorced,Urban,0
18,Male,60434,1002,305499,239,763,Unemployed,Divorced,Semiurban,0
25,Male,66749,43945,747692,107,732,Employed,Divorced,Rural,0
46,Male,3607,42882,545072,185,761,Self-employed,Married,Semiurban,1
49,Female,61183,23038,763276,330,583,Self-employed,Married,Urban,0
55,Male,58305,8094,405563,75,833,Self-employed,Widowed,Urban,0
22,Male,29973,22451,352664,112,667,Self-employed,Married,Urban,0
64,Male,25117,3752,179169,276,456,Self-employed,Widowed,Semiurban,1
39,Male,9645,20521,350277,359,762,Employed,Widowed,Urban,0
64,Female,44238,27768,543360,52,460,Unemployed,Divorced,Urban,0
51,Female,71694,28410,279170,113,473,Self-employed,Widowed,Urban,1
18,Female,43773,37206,761755,74,798,Employed,Single,Semiurban,0
43,Male,18786,4427,514286,313,849,Unemployed,Married,Semiurban,1
60,Male,42693,5556,57832,7,635,Unemployed,Widowed,Urban,0
27,Male,28578,41300,308110,224,325,Self-employed,Single,Rural,0
47,Male,48408,18772,36041,50,803,Self-employed,Married,Semiurban,0
35,Male,71702,28063,363667,238,598,Unemployed,Single,Semiurban,0
34,Male,17076,39760,729394,194,736,Unemployed,Divorced,Rural,0
43,Female,21377,22709,521391,353,310,Employed,Divorced,Semiurban,0
25,Female,11278,15319,150977,127,537,Self-employed,Married,Rural,0
64,Male,66808,5383,108810,70,709,Unemployed,Widowed,Rural,0
57,Female,35539,1233,750735,154,633,Unemployed,Single,Rural,0
29,Male,13440,27146,334817,254,612,Self-employed,Divorced,Rural,0
44,Male,28245,24713,127343,72,300,Employed,Widowed,Rural,0
25,Female,24097,48345,217554,355,822,Employed,Divorced,Semiurban,0
42,Male,75703,43758,357188,64,387,Self-employed,Divorced,Urban,1
63,Female,69092,14789,59100,120,541,Employed,Widowed,Rural,1
21,Male,3151,2930,348300,121,431,Employed,Married,Semiurban,0
50,Male,23698,12112,347503,242,627,Employed,Widowed,Urban,0
18,Female,19601,12374,107169,52,410,Unemployed,Single,Urban,0
36,Male,28807,31012,387280,114,588,Unemployed,Married,Semiurban,0
48,Male,47302,18523,107800,279,716,Employed,Single,Urban,0
33,Male,10039,24783,648428,118,373,Self-employed,Married,Urban,0
31,Female,49427,15563,367994,38,407,Self-employed,Divorced,Rural,0
65,Male,73839,43193,214330,285,815,Self-employed,Widowed,Rural,0
22,Male,60049,10042,95230,297,404,Employed,Single,Semiurban,0
58,Male,21053,43163,757807,321,681,Self-employed,Married,Rural,0
43,Female,57413,22820,149382,167,376,Unemployed,Divorced,Urban,0
45,Female,67958,31252,629987,95,502,Self-employed,Divorced,Urban,0
19,Female,33275,2208,94591,56,800,Self-employed,Widowed,Rural,0
23,Female,28597,40321,740770,149,540,Unemployed,Widowed,Semiurban,1
26,Female,79521,13796,426159,109,671,Unemployed,Single,Semiurban,0
50,Male,70908,38390,788872,175,504,Employed,Married,Rural,1
58,Female,57188,25426,692277,21,711,Employed,Divorced,Semiurban,1
42,Female,36710,22670,715026,138,513,Employed,Single,Semiurban,1
65,Male,77486,24320,137774,175,740,Employed,Single,Urban,0
30,Female,51050,20074,587161,35,830,Employed,Divorced,Rural,0
26,Male,51249,27931,439478,165,511,Unemployed,Married,Rural,0
30,Female,36247,18993,281681,152,352,Unemployed,Single,Urban,1
48,Male,72162,32991,610716,312,810,Unemployed,Widowed,Urban,0
58,Male,28408,15003,418851,242,387,Self-employed,Divorced,Rural,0
28,Female,78313,47496,557832,180,308,Self-employed,Divorced,Rural,0
21,Female,72683,14743,332693,77,382,Self-employed,Divorced,Urban,1
51,Male,7443,14007,126875,132,324,Employed,Married,Semiurban,1
55,Male,2079,24300,775936,201,524,Self-employed,Married,Urban,1
63,Male,40345,45352,115024,190,796,Employed,Single,Semiurban,0
21,Male,14901,41282,435524,155,729,Employed,Single,Rural,0
55,Male,69759,16175,209698,219,727,Employed,Divorced,Rural,0
36,Male,44732,5973,269313,99,493,Employed,Single,Rural,0
23,Male,19507,9703,377208,63,417,Self-employed,Divorced,Rural,1
